id	type	log_data	user_id	created_at	updated_at	log_desc	ip_add
344693	CREDIT_SCORE	ExceptionStage 1 Id generation failed	0	2018-07-10 17:49:12	2018-07-10 17:49:12	SINGLE_ACTION_RESPONSE	10.4.2.184
344694	CREDIT_SCORE	ExceptionStage 1 Id generation failed	0	2018-07-10 17:50:26	2018-07-10 17:50:26	SINGLE_ACTION_RESPONSE	10.4.2.184
344697	CREDIT_SCORE	ExceptionStage 1 Id generation failed	0	2018-07-10 17:53:37	2018-07-10 17:53:37	SINGLE_ACTION_RESPONSE	10.4.2.184
344704	CREDIT_SCORE	ExceptionStage 1 Id generation failed	0	2018-07-10 18:22:32	2018-07-10 18:22:32	SINGLE_ACTION_RESPONSE	10.4.2.184
344705	CREDIT_SCORE	ExceptionStage 1 Id generation failed	0	2018-07-10 18:26:05	2018-07-10 18:26:05	SINGLE_ACTION_RESPONSE	10.4.2.184
344709	CREDIT_SCORE	ExceptionStage 1 Id generation failed	0	2018-07-10 18:37:57	2018-07-10 18:37:57	SINGLE_ACTION_RESPONSE	10.4.2.184
344711	CREDIT_SCORE	ExceptionStage 1 Id generation failed	0	2018-07-10 18:40:31	2018-07-10 18:40:31	SINGLE_ACTION_RESPONSE	10.4.2.184
344715	CREDIT_SCORE	ExceptionStage 1 Id generation failed	0	2018-07-10 18:47:44	2018-07-10 18:47:44	SINGLE_ACTION_RESPONSE	10.4.2.184
344720	CREDIT_SCORE	ExceptionStage 1 Id generation failed	0	2018-07-10 18:52:51	2018-07-10 18:52:51	SINGLE_ACTION_RESPONSE	10.4.2.184
344738	CREDIT_SCORE	ExceptionThe exit status code '1' says something went wrong:\nstderr: "xvfb-run: error: Xvfb failed to start\n"\nstdout: ""\ncommand: /usr/bin/xvfb-run -- /usr/local/bin/wkhtmltopdf --lowquality --encoding 'utf-8' '/tmp/knp_snappy5b44ba20a20218.39162179.html' '/var/www/html/CapitalFirst-CFL-Customer-app-PHP/web/CFLdesign/assets/UploadedFiles/CreditReports/PDF/Sfdc_CreditReport_68056175_1531230752_Generated_.pdf'.	0	2018-07-10 19:22:32	2018-07-10 19:22:32	PDF_GENERATION	10.4.2.184
344739	CREDIT_SCORE	ExceptionThe exit status code '1' says something went wrong:\nstderr: "xvfb-run: error: Xvfb failed to start\n"\nstdout: ""\ncommand: /usr/bin/xvfb-run -- /usr/local/bin/wkhtmltopdf --lowquality --encoding 'utf-8' '/tmp/knp_snappy5b44ba20add1b2.28779964.html' '/var/www/html/CapitalFirst-CFL-Customer-app-PHP/web/CFLdesign/assets/UploadedFiles/CreditReports/PDF/Sfdc_CreditReport_71076887_1531230752_Generated_.pdf'.	0	2018-07-10 19:22:32	2018-07-10 19:22:32	PDF_GENERATION	10.4.2.184
344740	CREDIT_SCORE	ExceptionUnexpected character ";".	0	2018-07-10 19:22:32	2018-07-10 19:22:32	PDF_GENERATION	10.4.2.184
